Time,Region1_Mean,Region2_Entropy_Mean,Region2_Sync_Mean
1,0.0,0.004863995406264187,0.25243199770313207
2,-0.02291016068739814,0.01934016771601604,0.24821500351430892
3,0.035715945912565786,0.07275410546298108,0.22923502568777346
4,0.011287726457861028,-0.059727964768871086,0.20077988084449494
5,0.017161655238564846,-0.05311477993937312,0.1820234376495959
6,0.018868904119751694,-0.02162323834848062,0.2236228328856355
7,0.02339438599445144,-0.06281954454322831,0.18028742072561155
8,0.05454722511056378,0.1275631591547442,0.29105519213265396
9,0.07269494975689615,-0.029326165535897876,0.19668439211049918
10,0.08198717514429235,-0.01963788438540818,0.2311746453794421
11,0.14023210901053607,-0.22196387182990307,0.18413411859031653
12,0.1423253507221626,-0.015704248709783493,0.2633105510061896
13,0.16131097200530262,0.21389380037150665,0.3376023861884046
14,0.16280264435665004,-0.052926933175393556,0.2549378555906282
15,0.18973301617585867,0.045945462385840415,0.29283923928084954
16,0.2560533120867453,0.1450234007495563,0.3755383564181508
17,0.22776605209320308,0.1496578964252881,0.38871197425924564
18,0.18832399665548843,0.16121335276849175,0.34976867471199014
19,0.1540329803365884,0.029138326003019178,0.24158565316980382
20,0.20541582602765485,-0.028533903388212066,0.23844096131972137
21,0.20137693227974385,0.10607275104321745,0.2537248416614806
22,0.1444191420923589,0.16284298377101708,0.30363106293168796
23,0.12745113222222476,0.0361970976422431,0.20682411493223393
24,0.16030910469106172,0.19025004946639865,0.30027957707873015
25,0.1344863654435567,-0.0401268435403072,0.24717976095162472
26,0.15759509259543059,-0.016958665115080786,0.2703182137401749
27,0.19616703404272,0.31765125187385773,0.3819091429582889
28,0.2220812481375006,0.16166506610143494,0.31687315711946773
29,0.20498091135559124,-0.0011232179766513168,0.27692884668947
30,0.21351879193065582,0.23503292714695861,0.3492758595388072
31,0.22032624511710855,-0.06243961445603258,0.25394331533053804
32,0.2004925153288783,-0.007660505194851963,0.2714160050670132
33,0.1650163185773787,-0.0922868488188302,0.21136473487927426
34,0.18525537410599044,0.2156664176501275,0.35046089587805906
35,0.1664903049276564,0.023401348669026954,0.2699458267983416
36,0.13767655219779826,0.09430996427074544,0.2659932582342718
37,0.1908534137969094,0.06862841149370766,0.2797409126453086
38,0.1615639944733354,0.17388158712936277,0.317722790801349
39,0.19904361303839532,0.22566306552252322,0.3873533392804593
40,0.22006099368739407,0.12621104930082488,0.3231360214941096
41,0.2665189006468127,0.2478935322060062,0.43220621642640944
42,0.22799516848936457,0.2716586592705404,0.4248269138799524
43,0.20670017026999968,0.31205196509666894,0.3593760676833343
44,0.21378467343654126,0.4060446772181038,0.43491467532732253
45,0.21099483056582521,0.11906433097207669,0.34002958076895096
46,0.14134389661218577,0.1892461674850186,0.36529503204860214
47,0.13191623976689365,0.15653460831103913,0.29422542403896634
48,0.08770859811641281,0.40470415328593534,0.3462063757011742
49,0.017252668013576146,0.2259281964189812,0.29659043221627873
50,0.048260827909134996,0.3455877484727593,0.3969242881909472
51,0.12006567897578675,0.3380482415961835,0.3540569602859851
52,0.08339340255892146,0.3569460328686781,0.37016971771379975
53,0.054568632477470604,0.32131558328211085,0.36294210787979075
54,0.07756527142164868,0.4429189939203083,0.3852421326709785
55,0.07275922674026261,0.3433558553304715,0.38305754103536704
56,0.05058834371084366,0.3554476792445108,0.32801801147767723
57,-0.03712886147997276,0.4851579033745435,0.37401452094728543
58,-0.04270917440648055,0.39489165666389914,0.32609124112870924
59,-0.03108122253301556,0.5787271652862851,0.4238229713766349
60,-0.039164477388493296,0.4307725004785084,0.3458040115450075
61,-0.07909504676124342,0.24148239073114666,0.2561936719849517
62,-0.05880615354163633,0.3771221051080588,0.25915797578321126
63,-0.07626473656621792,0.5422077979913765,0.35797153071257926
64,-0.16833150217062226,0.19268246394856722,0.1621754808889725
65,-0.1923755434614744,0.3733163387750514,0.21547039765678844
66,-0.15093645575323372,0.6590691517496144,0.32906634799819046
67,-0.15425471809820104,0.41265277282123236,0.2541990273615157
68,-0.0988082532239487,0.49411166772203785,0.3226517072490445
69,-0.09736396711758646,0.5771670926768302,0.3399015627796219
70,-0.1461012133025848,0.4962818746815832,0.2750903306894992
71,-0.15375153004086634,0.4249934047163718,0.2606209373377528
72,-0.16477558256363428,0.3370740222828407,0.21114921985960322
73,-0.1816421990879641,0.3600622366000714,0.21421001875605367
74,-0.2499377008758105,0.30253324364622647,0.151297771385208
75,-0.2550275788120109,0.33089814062748735,0.16293528090773823
76,-0.23120800987692772,0.23367575808438548,0.1512338741037289
77,-0.29576210511437717,0.07146768088833819,0.03785278788698052
78,-0.2866659845632184,0.12341644243009982,0.04337522893344073
79,-0.2469511738816738,0.1327875332491681,0.09291817968374708
